,_id,nome_percorso,url,distanza,tipo,fondo,pendenza_max,dislivello,rif_regione
54,1035,Lungofiume foce del Vibrata,https://www.piste-ciclabili.com/itinerari/1035-lungofiume-foce-del-vibrata,2 km,ciclopedonale,ghiaia,0 %,0 m,0
55,1726,Lungofiume Tordino: da Giulianova a Mosciano Stazione,https://www.piste-ciclabili.com/itinerari/1726-lungofiume-tordino-da-giulianova-a-mosciano-stazione,7 km,strada,misto,4 %,44 m,0
56,1549,Lungofiume Vomano: Scerne di Pineto - Montorio al Vomano,https://www.piste-ciclabili.com/itinerari/1549-lungofiume-vomano-scerne-di-pineto-montorio-al-vomano,45 km,ciclostrada,misto,27 %,266 m,0
57,1548,Lungofiume: Giulianova lido - Mosciano stazione,https://www.piste-ciclabili.com/itinerari/1548-lungofiume-giulianova-lido-mosciano-stazione,8 km,ciclostrada,misto,10 %,45 m,0
58,3800,Magliano de' Marsi: Giro 2 regioni,https://www.piste-ciclabili.com/itinerari/3800-magliano-de-marsi-giro-2-regioni,40 km,strada,misto,26 %,401 m,0
59,1931,Magliano: ciclabile di via Vittorio Veneto,https://www.piste-ciclabili.com/itinerari/1931-magliano-ciclabile-di-via-vittorio-veneto,1 km,strada,asfalto,1 %,3 m,0
60,3799,Marsia - Anello del Monte Morbano,https://www.piste-ciclabili.com/itinerari/3799-marsia-anello-del-monte-morbano,35 km,sentiero,terra,27 %,326 m,0
61,2396,Martinsicuro - Colonnella,https://www.piste-ciclabili.com/itinerari/2396-martinsicuro-colonnella,6 km,strada,asfalto,26 %,298 m,0
62,1039,Martinsicuro - Villa Rosa,https://www.piste-ciclabili.com/itinerari/1039-martinsicuro-villa-rosa,1 km,ciclabile,asfalto,0 %,0 m,0
63,1051,Martinsicuro: lungofiume Tronto,https://www.piste-ciclabili.com/itinerari/1051-martinsicuro-lungofiume-tronto,2 km,sentiero,misto,0 %,2 m,0
64,1040,Martinsicuro: lungomare,https://www.piste-ciclabili.com/itinerari/1040-martinsicuro-lungomare,4 km,ciclopedonale,asfalto,4 %,4 m,0
65,5483,Monte Morbano,https://www.piste-ciclabili.com/itinerari/5483-monte-morbano,19 km,sentiero,misto,20 %,205 m,0
66,249,Montesilvano - Pescara,https://www.piste-ciclabili.com/itinerari/249-montesilvano-pescara,5 km,ciclopedonale,asfalto,0 %,5 m,0
67,2496,Mosciano Sant'Angelo - Giulianova per vecchie carrarecce di campagna,https://www.piste-ciclabili.com/itinerari/2496-mosciano-santangelo-giulianova-per-vecchie-carrarecce-di-campagna,7 km,sentiero,misto,23 %,120 m,0
68,2495,Mosciano stazione - Cordesco,https://www.piste-ciclabili.com/itinerari/2495-mosciano-stazione-cordesco,5 km,sentiero,ghiaia,3 %,29 m,0
69,2942,Nora - Villarea,https://www.piste-ciclabili.com/itinerari/2942-nora-villarea,6 km,ciclopedonale,terra,3 %,23 m,0
70,1857,Ortona: Lido Riccio - Centro storico,https://www.piste-ciclabili.com/itinerari/1857-ortona-lido-riccio-centro-storico,8 km,strada,asfalto,24 %,65 m,0
71,1863,Ortona: Lido Riccio - Torre Mucchia,https://www.piste-ciclabili.com/itinerari/1863-ortona-lido-riccio-torre-mucchia,1 km,sentiero,misto,20 %,54 m,0
72,1909,Pagliare del Tronto di Spinetoli: Oasi La Valle,https://www.piste-ciclabili.com/itinerari/1909-pagliare-del-tronto-di-spinetoli-oasi-la-valle,11 km,ciclopedonale,asfalto,1 %,36 m,0
73,1045,Parco fluviale del Vezzola Tordino,https://www.piste-ciclabili.com/itinerari/1045-parco-fluviale-del-vezzola-tordino,7 km,ciclopedonale,ghiaia,26 %,96 m,0
74,430,Pescara - Ciclabile di via G. D'Annunzio,https://www.piste-ciclabili.com/itinerari/430-pescara-ciclabile-di-via-g-dannunzio,2 km,ciclabile,asfalto,0 %,0 m,0
75,2506,Pescara sud - Francavilla,https://www.piste-ciclabili.com/itinerari/2506-pescara-sud-francavilla,3 km,strada,asfalto,0 %,5 m,0
76,435,Pescara: ciclabile all'interno dell'ex area di risulta,https://www.piste-ciclabili.com/itinerari/435-pescara-ciclabile-allinterno-dellex-area-di-risulta,1 km,ciclabile,asfalto,0 %,1 m,0
77,431,Pescara: ciclabile centrale,https://www.piste-ciclabili.com/itinerari/431-pescara-ciclabile-centrale,2 km,ciclabile,asfalto,0 %,1 m,0
78,1759,Pescara: ciclabile litoranea Pescara sud,https://www.piste-ciclabili.com/itinerari/1759-pescara-ciclabile-litoranea-pescara-sud,3 km,ciclabile,asfalto,2 %,4 m,0
79,432,Pescara: ciclabile lungo fiume nord,https://www.piste-ciclabili.com/itinerari/432-pescara-ciclabile-lungo-fiume-nord,2 km,ciclopedonale,asfalto,5 %,10 m,0
80,434,Pescara: ciclabile lungo fiume sud,https://www.piste-ciclabili.com/itinerari/434-pescara-ciclabile-lungo-fiume-sud,2 km,ciclopedonale,asfalto,3 %,4 m,0
81,433,Pescara: ciclabile porto nord,https://www.piste-ciclabili.com/itinerari/433-pescara-ciclabile-porto-nord,1 km,ciclabile,asfalto,3 %,4 m,0
82,1757,Pescara: ponte ciclopedonale lungofiume,https://www.piste-ciclabili.com/itinerari/1757-pescara-ponte-ciclopedonale-lungofiume,1 km,ciclopedonale,misto,0 %,2 m,0
83,1695,Pescara: Ponte del Mare,https://www.piste-ciclabili.com/itinerari/1695-pescara-ponte-del-mare,1 km,ciclopedonale,misto,0 %,0 m,0
84,1693,Pescara: ponte di ferro,https://www.piste-ciclabili.com/itinerari/1693-pescara-ponte-di-ferro,1 km,ciclopedonale,misto,2 %,2 m,0
85,1758,Pescara: Stazione Centrale - Ponte di Ferro,https://www.piste-ciclabili.com/itinerari/1758-pescara-stazione-centrale-ponte-di-ferro,1 km,ciclopedonale,asfalto,12 %,7 m,0
86,6176,Pescara: via G. D'Annunzio,https://www.piste-ciclabili.com/itinerari/6176-pescara-via-g-dannunzio,2 km,ciclabile,asfalto,5 %,2 m,0
87,1047,Pineto: cavalcavia sulla SS16,https://www.piste-ciclabili.com/itinerari/1047-pineto-cavalcavia-sulla-ss16,1 km,ciclopedonale,asfalto,5 %,4 m,0
88,3052,Pista ciclabile San Luca - Piazzano,https://www.piste-ciclabili.com/itinerari/3052-pista-ciclabile-san-luca-piazzano,4 km,ciclopedonale,asfalto,4 %,43 m,0
89,3179,Pomilio - Blockaus,https://www.piste-ciclabili.com/itinerari/3179-pomilio-blockaus,3 km,ciclopedonale,misto,22 %,183 m,0
90,2353,Porto d'Ascoli - Ascoli Piceno,https://www.piste-ciclabili.com/itinerari/2353-porto-dascoli-ascoli-piceno,28 km,strada,asfalto,4 %,155 m,0
91,459,Riviera nord Montesilvano - Pescara,https://www.piste-ciclabili.com/itinerari/459-riviera-nord-montesilvano-pescara,9 km,ciclopedonale,asfalto,0 %,3 m,0
92,3351,Rivisondoli - Roccaraso (aq),https://www.piste-ciclabili.com/itinerari/3351-rivisondoli-roccaraso-aq,3 km,ciclopedonale,misto,0 %,0 m,0
93,3943,Roccaraso - Rivisondoli (anello),https://www.piste-ciclabili.com/itinerari/3943-roccaraso-rivisondoli-anello,6 km,ciclopedonale,asfalto,2 %,13 m,0
94,1735,Roseto degli Abruzzi - Foce del Vomano,https://www.piste-ciclabili.com/itinerari/1735-roseto-degli-abruzzi-foce-del-vomano,2 km,strada,misto,1 %,6 m,0
95,1709,Roseto degli Abruzzi - Scerne di Pineto,https://www.piste-ciclabili.com/itinerari/1709-roseto-degli-abruzzi-scerne-di-pineto,3 km,strada,asfalto,5 %,7 m,0
96,539,Roseto degli Abruzzi: Lungomare,https://www.piste-ciclabili.com/itinerari/539-roseto-degli-abruzzi-lungomare,1 km,ciclabile,asfalto,0 %,1 m,0
97,2776,Roseto degli Abruzzi: via Campo Patrizi,https://www.piste-ciclabili.com/itinerari/2776-roseto-degli-abruzzi-via-campo-patrizi,1 km,ciclopedonale,asfalto,0 %,0 m,0
98,2777,Roseto degli Abruzzi: via Fonte dell'Olmo,https://www.piste-ciclabili.com/itinerari/2777-roseto-degli-abruzzi-via-fonte-dellolmo,1 km,ciclopedonale,asfalto,5 %,2 m,0
99,1126,Roseto nord,https://www.piste-ciclabili.com/itinerari/1126-roseto-nord,2 km,ciclopedonale,asfalto,0 %,2 m,0
100,2494,Roseto: lungomare nord,https://www.piste-ciclabili.com/itinerari/2494-roseto-lungomare-nord,2 km,strada,asfalto,4 %,4 m,0
101,2493,Roseto: lungomare sud,https://www.piste-ciclabili.com/itinerari/2493-roseto-lungomare-sud,3 km,strada,asfalto,2 %,3 m,0
102,4196,Salinello Tordino: collina e spiaggia,https://www.piste-ciclabili.com/itinerari/4196-salinello-tordino-collina-e-spiaggia,21 km,strada,asfalto,16 %,159 m,0
103,2610,Salita a Campo Imperatore,https://www.piste-ciclabili.com/itinerari/2610-salita-a-campo-imperatore,36 km,strada,asfalto,21 %,1303 m,0
104,1933,San Benedetto dei Marsi: ciclabile Armando diaz,https://www.piste-ciclabili.com/itinerari/1933-san-benedetto-dei-marsi-ciclabile-armando-diaz,1 km,strada,asfalto,3 %,9 m,0
105,1911,San Benedetto dei Marsi: ciclostrada di via Ipoliti,https://www.piste-ciclabili.com/itinerari/1911-san-benedetto-dei-marsi-ciclostrada-di-via-ipoliti,1 km,strada,asfalto,5 %,13 m,0
106,1922,San Benedetto dei Marsi: strada con segnalazione di ciclabile,https://www.piste-ciclabili.com/itinerari/1922-san-benedetto-dei-marsi-strada-con-segnalazione-di-ciclabile,3 km,strada,asfalto,5 %,35 m,0
107,2307,"San Giacomo, scalata",https://www.piste-ciclabili.com/itinerari/2307-san-giacomo-scalata,11 km,strada,asfalto,29 %,731 m,0
108,2581,San Salvo: via Pertini,https://www.piste-ciclabili.com/itinerari/2581-san-salvo-via-pertini,1 km,ciclabile,asfalto,8 %,13 m,0
109,1050,Sant'Egidio alla Vibrata,https://www.piste-ciclabili.com/itinerari/1050-santegidio-alla-vibrata,2 km,ciclabile,asfalto,2 %,40 m,0
110,1724,Sant'Egidio alla Vibrata - Garrufo di Sant'Omero,https://www.piste-ciclabili.com/itinerari/1724-santegidio-alla-vibrata-garrufo-di-santomero,7 km,strada,misto,14 %,75 m,0
111,4131,Sant'Egidio alla Vibrata: ciclabile di Paolantonio,https://www.piste-ciclabili.com/itinerari/4131-santegidio-alla-vibrata-ciclabile-di-paolantonio,2 km,ciclopedonale,asfalto,5 %,10 m,0
112,4130,Sant'Egidio alla Vibrata: ciclabile fluviale,https://www.piste-ciclabili.com/itinerari/4130-santegidio-alla-vibrata-ciclabile-fluviale,1 km,ciclopedonale,asfalto,8 %,12 m,0
113,3097,Sant'Omero - Garrufo - Barracche (anello),https://www.piste-ciclabili.com/itinerari/3097-santomero-garrufo-barracche-anello,13 km,strada,asfalto,26 %,143 m,0
114,1734,Sant'Omero: via delle Pinciaie,https://www.piste-ciclabili.com/itinerari/1734-santomero-via-delle-pinciaie,4 km,sentiero,misto,0 %,0 m,0
115,392,Scoppito: ciclabile panoramica,https://www.piste-ciclabili.com/itinerari/392-scoppito-ciclabile-panoramica,2 km,ciclopedonale,terra,5 %,60 m,0
116,2508,Silvi - Montesilvano nord,https://www.piste-ciclabili.com/itinerari/2508-silvi-montesilvano-nord,8 km,strada,asfalto,0 %,0 m,0
117,2504,Stazione di Tollo - Lido Riccio di Ortona,https://www.piste-ciclabili.com/itinerari/2504-stazione-di-tollo-lido-riccio-di-ortona,4 km,sentiero,terra,0 %,0 m,0
118,99,Strada Maestra del Parco Gran Sasso - Monti della Laga,https://www.piste-ciclabili.com/itinerari/99-strada-maestra-del-parco-gran-sasso-monti-della-laga,50 km,strada,asfalto,26 %,1060 m,0
119,1469,Tagliacozzo,https://www.piste-ciclabili.com/itinerari/1469-tagliacozzo,8 km,strada,asfalto,19 %,102 m,0
120,2758,Teramo: Ciclo-ippovia dei calanchi di Atri,https://www.piste-ciclabili.com/itinerari/2758-teramo-ciclo-ippovia-dei-calanchi-di-atri,29 km,ciclostrada,ghiaia,28 %,378 m,0
121,1788,Torre di Cerrano - Silvi nord,https://www.piste-ciclabili.com/itinerari/1788-torre-di-cerrano-silvi-nord,3 km,ciclopedonale,misto,6 %,9 m,0
122,2337,Tortoreto - Terrabianca,https://www.piste-ciclabili.com/itinerari/2337-tortoreto-terrabianca,11 km,strada,asfalto,24 %,151 m,0
123,1573,Tortoreto Panoramica,https://www.piste-ciclabili.com/itinerari/1573-tortoreto-panoramica,12 km,strada,asfalto,22 %,227 m,0
124,1046,Tortoreto: lungofiume Salinello,https://www.piste-ciclabili.com/itinerari/1046-tortoreto-lungofiume-salinello,1 km,ciclopedonale,misto,0 %,3 m,0
125,1921,Tortoreto: SS16 - Mare attaverso via Napoli,https://www.piste-ciclabili.com/itinerari/1921-tortoreto-ss16-mare-attaverso-via-napoli,1 km,ciclopedonale,asfalto,1 %,1 m,0
126,3072,Tra le valli del Montepulciano d'Abruzzo,https://www.piste-ciclabili.com/itinerari/3072-tra-le-valli-del-montepulciano-dabruzzo,28 km,strada,misto,28 %,438 m,0
127,3315,Val Canala - Terra Egna - Ponte Campomizzo (MTB),https://www.piste-ciclabili.com/itinerari/3315-val-canala-terra-egna-ponte-campomizzo-mtb,12 km,sentiero,misto,0 %,0 m,0
128,1631,Val Tordino - Val Vomano: Villa Tordinia - Piane di Collevecchio,https://www.piste-ciclabili.com/itinerari/1631-val-tordino-val-vomano-villa-tordinia-piane-di-collevecchio,12 km,ciclostrada,asfalto,20 %,200 m,0
129,4221,Val vibrata (medio),https://www.piste-ciclabili.com/itinerari/4221-val-vibrata-medio,93 km,strada,asfalto,20 %,533 m,0
130,1732,Variante di Nereto,https://www.piste-ciclabili.com/itinerari/1732-variante-di-nereto,3 km,strada,asfalto,0 %,0 m,0
131,2134,Vasto - San Salvo,https://www.piste-ciclabili.com/itinerari/2134-vasto-san-salvo,4 km,ciclabile,asfalto,0 %,0 m,0
132,2933,Vasto marina - SanSalvo marina,https://www.piste-ciclabili.com/itinerari/2933-vasto-marina-sansalvo-marina,6 km,ciclabile,asfalto,5 %,8 m,0
133,2576,Vasto: lungomare nord,https://www.piste-ciclabili.com/itinerari/2576-vasto-lungomare-nord,2 km,ciclopedonale,asfalto,8 %,10 m,0
134,2580,Vasto: Riserva di Punta Aderci,https://www.piste-ciclabili.com/itinerari/2580-vasto-riserva-di-punta-aderci,6 km,ciclabile,terra,11 %,34 m,0
135,2577,Vasto: torrente Lebba,https://www.piste-ciclabili.com/itinerari/2577-vasto-torrente-lebba,4 km,ciclabile,asfalto,10 %,50 m,0
136,1041,Villa Rosa: ciclabile lungo mare,https://www.piste-ciclabili.com/itinerari/1041-villa-rosa-ciclabile-lungo-mare,2 km,ciclopedonale,asfalto,5 %,3 m,0
137,2321,Villavallelonga - Pescasseroli,https://www.piste-ciclabili.com/itinerari/2321-villavallelonga-pescasseroli,16 km,sentiero,misto,23 %,721 m,0
138,3931,Cogliandrino - Moliterno (anello),https://www.piste-ciclabili.com/itinerari/3931-cogliandrino-moliterno-anello,13 km,strada,asfalto,20 %,265 m,1
139,468,Fiume Basento,https://www.piste-ciclabili.com/itinerari/468-fiume-basento,2 km,ciclopedonale,misto,6 %,14 m,1
140,1506,Gioia del Colle - Matera,https://www.piste-ciclabili.com/itinerari/1506-gioia-del-colle-matera,34 km,strada,asfalto,7 %,76 m,1
141,1629,Irsina - Tolve,https://www.piste-ciclabili.com/itinerari/1629-irsina-tolve,32 km,strada,asfalto,0 %,0 m,1
142,460,Lago Pantano di Pignola,https://www.piste-ciclabili.com/itinerari/460-lago-pantano-di-pignola,6 km,ciclopedonale,asfalto,8 %,17 m,1
143,3264,Lago Sirino (Nemoli) provincia di Potenza,https://www.piste-ciclabili.com/itinerari/3264-lago-sirino-nemoli-provincia-di-potenza,1 km,ciclostrada,misto,11 %,11 m,1
144,3873,Latronico - Cogliandrino - Terme Calda,https://www.piste-ciclabili.com/itinerari/3873-latronico-cogliandrino-terme-calda,24 km,strada,asfalto,23 %,321 m,1
145,3748,Latronico - Terme (anello),https://www.piste-ciclabili.com/itinerari/3748-latronico-terme-anello,12 km,strada,asfalto,26 %,244 m,1
146,3797,Latronico - Terme - Varrazzo - Mileo - Agromonte,https://www.piste-ciclabili.com/itinerari/3797-latronico-terme-varrazzo-mileo-agromonte,28 km,strada,misto,28 %,357 m,1
147,3276,Latronico - Terme Calda,https://www.piste-ciclabili.com/itinerari/3276-latronico-terme-calda,3 km,strada,asfalto,28 %,144 m,1
148,3742,Latronico - Varrazzo - Calda,https://www.piste-ciclabili.com/itinerari/3742-latronico-varrazzo-calda,10 km,sentiero,misto,25 %,178 m,1
149,283,Lauria - Contrada Pecorone,https://www.piste-ciclabili.com/itinerari/283-lauria-contrada-pecorone,3 km,ciclopedonale,asfalto,17 %,159 m,1
150,3739,Lauria frazione Monte Galdo (anello),https://www.piste-ciclabili.com/itinerari/3739-lauria-frazione-monte-galdo-anello,6 km,ciclabile,asfalto,10 %,26 m,1
151,3256,Lido di Policoro: lungomare,https://www.piste-ciclabili.com/itinerari/3256-lido-di-policoro-lungomare,4 km,ciclopedonale,asfalto,0 %,0 m,1
152,467,Pignola - Pantano,https://www.piste-ciclabili.com/itinerari/467-pignola-pantano,4 km,ciclopedonale,asfalto,18 %,94 m,1
153,2145,Santeramo in colle - Gravina in Puglia,https://www.piste-ciclabili.com/itinerari/2145-santeramo-in-colle-gravina-in-puglia,32 km,strada,asfalto,0 %,0 m,1
154,5056,Appennino paolano: 3 Scalate verso borghi antichi,https://www.piste-ciclabili.com/itinerari/5056-appennino-paolano-3-scalate-verso-borghi-antichi,45 km,ciclostrada,asfalto,27 %,326 m,2
155,2223,Bianco,https://www.piste-ciclabili.com/itinerari/2223-bianco,2 km,ciclostrada,asfalto,5 %,4 m,2
156,2225,Bianco: Lungomare,https://www.piste-ciclabili.com/itinerari/2225-bianco-lungomare,1 km,ciclopedonale,asfalto,0 %,1 m,2
157,1269,Campana: itinerario turistico ciclabile,https://www.piste-ciclabili.com/itinerari/1269-campana-itinerario-turistico-ciclabile,9 km,ciclabile,asfalto,14 %,185 m,2
158,3598,Capo Rizzuto: ciclabile,https://www.piste-ciclabili.com/itinerari/3598-capo-rizzuto-ciclabile,82 km,ciclopedonale,misto,18 %,196 m,2
159,3471,Castiglione Scalo: via Atene - quartiere Europa,https://www.piste-ciclabili.com/itinerari/3471-castiglione-scalo-via-atene-quartiere-europa,1 km,ciclabile,asfalto,5 %,5 m,2
