,_id,bambini,pattinatori,descrizione,ultimo_aggiornam,link_imm_percorso
32,6012, No, Si,"
Pista ciclabile dalla nuova stazione di Castellanza Ferrovie Nord a via Fosse Ardeatine

"," 19 settembre 17

",https://www.piste-ciclabili.com/print/6012-castellanza:_nuova_stazione_-_via_fosse_ardeatine
33,6013, No, No,"
Pista ciclopedonale che porta dalla vecchia stazione di Castellanza al Parco Alto Milanese, Isis Facchinetti e centri commerciali (Metro, Esselunga) passando per il parco di via Alcide de Gasperi (sempre aperto). Notare che il percorso è completamente su pista ciclabile/ciclopedonale.

Raccordata all'Esselunga con la pista ciclopedonale di Busto Arsizio che porta a viale Boccaccio (vicinanze Liceo Scientifico Tosi).

"," 24 luglio 17

",https://www.piste-ciclabili.com/print/6013-castellanza:_vecchia_stazione_via_pomini_-_parco_alto_milanese_e_centri_commerciali
34,926, Si, Non votato,"
Itinerario su ciclabile nella natura dove si vedono le grandi opere idrauliche effettuate nei secoli.

"," 23 settembre 11

",https://www.piste-ciclabili.com/print/926-castelletto_di_cuggiono_-_ponte_di_oleggio
35,1723, Si, Non votato,"
Itinerario ciclabile che fa parte delle piste ciclabili lungo il Parco del Ticino, sponda piemontese.

E' il primo tratto della ciclabile che condurrà da Castelletto Ticino fino a Cerano.

E' interamente sterrato, salvo pochi tratti asfaltati.

Arrivati alla SS336 si hanno 2 possibilità:
1 - girando a destra si sale verso Varallo Pombia; é inoltre possibile proseguire sulla pista ciclabile del Ticino: appena terminata la salita vi é l'indicazione sulla sinistra.
2 - girando a sinistra si va verso i Canali Villoresi e Naviglio (vedi itinerario La Grande Gronda).

"," 10 ottobre 09

",https://www.piste-ciclabili.com/print/1723-castelletto_ticino_-_ss_336
36,236, No, No,"
Un itinerario facile ""utile"" (come alternativa al Naviglio) e molto suggestivo per visitare le Cascine Lombarde, connettersi alla ciclabile del Naviglio Grande e pedalare nel Parco Agricolo Sud di Milano.

Alcuni tratti sono su strada percorribile alle auto (anche se non molto trafficate) per cui attenzione: casco sempre in testa e buon divertimento.

"," 22 novembre 07

",https://www.piste-ciclabili.com/print/236-castello_di_cusago_-_abbiategrasso
37,2261, Si, Si,"
Breve ciclabile che circonda il castello di Melegnano.

"," 14 maggio 10

",https://www.piste-ciclabili.com/print/2261-castello_di_melegnano
38,1617, No, Non votato,"
Tranquillo tracciato da fare in famiglia tra le meraviglie del Parco Pineta


"," 15 ottobre 11

",https://www.piste-ciclabili.com/print/1617-castelnuovo_bozzente:_giro_nel_parco_pineta
39,2907, Si, No,"
da castenedolo a manerbio (asfalto \ sterrato \ ghiaia)

","e 11

",https://www.piste-ciclabili.com/print/2907-castenedolo_-_manerbio
40,5331, No, No,"
Percorso semplice e rilassante tra borghi, paesi e natura.
Consigliatissimo

"," 14 gennaio 15

",https://www.piste-ciclabili.com/print/5331-castenedolo_-_manerbio_-_capriano_-_s.zeno_(anello)
41,5443, No, No,"
Bellissimo giro tra paesaggi boschi e colline

"," 21 marzo 15

",https://www.piste-ciclabili.com/print/5443-castenedolo_-_sal%EF%BF%BD_-_valtenesi_-_gavardina_(anello)
42,142, Non votato, No,"
Ciclovia n° 5 segnalata, percorre interamente il fronte morenico del Garda su strade comunali a basso traffico.


"," 2 ottobre 07

",https://www.piste-ciclabili.com/print/142-castiglione_delle_stiviere_-_cavriana_-_pozzolo
43,4148, Si, Si,"
Proseguite sulla SP 56 all arrivo del cartello benvenuti a Castione della Presolana percorrete circa 1 Km, quindi dovete svoltare a SX in Via Sorte che si trova tra la fermata dellautobus e il distributore dellApi, cè anche un semaforo con attraversamento pedonale. la segnaletica della pista ciclabile non è ben visibile in quanto posta subito dopo la fermata dellautobus che si trova sul lato opposto della strada.

Salite per circa 70 mt alla seconda stradina svoltate a DX, troverete la stradina con il cartello che indica la pista ciclabile. Ha una lunghezza di 700 mt e arriverete davanti alla Chiesa/Parrocchia di SantAlessandro di Castione della Presolana.

"," 9 gennaio 13

",https://www.piste-ciclabili.com/print/4148-castione_della_presolana:_ciclabile/pedonale
44,3698, Si, Si,"
Piccola ciclabile asfaltata tra i campi utilissima perchè porta alla piscina di Sommo. La metà di Cava è illuminata.

Quasi totalmente pianeggiante tranne dove passa sopra un fosso ma comunque pattinabile.

A piedi ci sono le panchine ed è possibile fare ritorno da Sommo a Cava sul bel sentiero della Gabbanina che è più o meno parallela ma di terra.

","e 12

",https://www.piste-ciclabili.com/print/3698-cava_manara_-_sommo
45,6165, Si, No,"
Strada su fondo asfaltato irregolare che attraversa il Parco Locale di Interesse Sovracomunale del Lambro Meridionale e del Ticinello, in un bell'ambiente di campagna integra.

"," 18 febbraio 18

",https://www.piste-ciclabili.com/print/6165-cavagnera_-_campomorto
46,1907, Non votato, Non votato,"
percorso in massima parte campestre con brevi tratti su strade non molto trafficate, può proseguire fino a vimercate ma attualmente la strada è interrotta per pricipio di frana torrente molgora in via del buraghino

"," 5 dicembre 09

",https://www.piste-ciclabili.com/print/1907-cavenago_brianza_-_burago_di_molgora
47,1908, Non votato, Non votato,"
da cavenago brianza a bussero passando per strade campestri ed il centro dei paesi

"," 5 dicembre 09

",https://www.piste-ciclabili.com/print/1908-cavenago_brianza_-_bussero_mm2
48,3593, Si, No,"
Bel percorso costeggiando vigneti, semplice ideale da fare con bambini in bicicletta o passeggiata a tratti scomodo con passeggino.

"," 3 febbraio 12

",https://www.piste-ciclabili.com/print/3593-cenate_sotto_(anello)
49,5973, Si, No,"
Centro ippico S.Andrea - Pista ciclabile n.30 Groane - Cascina Nuova - Cappelletta Pax in Terris - Parco del Lura - Manera - Bosco Moronera - Sovrappassi autostrade Pedemontana e Milano-Como - Cascina Restelli - Cascina Castigliona

"," 16 gennaio 17

",https://www.piste-ciclabili.com/print/5973-centro_ippico_s.andrea_-_cascina_castigliona
50,4389, No, No,"
Piacevole salita di medio impegno su strada asfaltata, eccetto l'ultimo breve tratto dall'albergo al Forte su fondo naturale. Alcuni tratti ripidi fanno sì che venga consigliata una MTB.

La salita è varia e molto panoramica sulla Conca di Bormio. Il tratto da Oga al Forte si snoda poi nel bosco, in ambiente alpino.

","e 13

",https://www.piste-ciclabili.com/print/4389-cepina_-_forte_di_oga
51,4386, No, No,"
Facile e distensivo itinerario, quasi tutto su ciclopedonale o al più strade a basso traffico.

Soltanto un tratto piuttosto breve su strada statale richiede attenzione.

Pendenza in genere modesta, fatta eccezione di due brevi strappi piuttosto ripidi: un primo all'uscita verso S.Gallo, ed un secondo un po' più impegnativo nella salita finale a Semogo.

Alcuni tratti della ciclabile sono adatti anche ai bambini (tratto S.Lucia-Pentagono, o campo sportivo di Isolaccia). Itinerario veramente consigliabile.

","e 13

",https://www.piste-ciclabili.com/print/4386-cepina_-_premadio_-_semogo
52,4458, No, No,"
Itinerario su strade poco trafficate, con qualche breve tratto su ciclabile. Due salite da affrontare (bici con cambio), nel complesso di facile impegno. Attraversamento di un breve tunnel illuminato.

Interesse paesaggistico sulla frana di Val Pola che distrusse S. Antonio Morignone nel Luglio 1987.

Interesse architettonico sul Villaggio Sanatoriale Morelli, costruito negli anni trenta. La salita ad ampio respiro su tornanti raggiunge l'ultimo padiglione: trattandosi di area ospedaliera, si raccomanda di percorrerla con la dovuta discrezione.
Il rientro a Cepina o a Bormio si effettua percorrendo a ritroso l'itinerario, ignorando la deviazione che sale a S.Bartolomeo, e superando un tratto di salita di 800 metri al 10%.

Consiglio certamente questo itinerario a chi è in vacanza in Alta Valtellina!

"," 7 maggio 13

",https://www.piste-ciclabili.com/print/4458-cepina_-_s._bartolomeo_-_morelli_di_sondalo
53,1414, No, No,"
La pista ciclabile costeggia zone verdi attraversate da piste ciclabili a cui si connette e permette di collegare in sicurezza vari quartieri lungo la Via Beato Angelico (sovrasottopasso), altrimenti molto pericolosa per pedoni e biciclette.

"," 22 maggio 09

",https://www.piste-ciclabili.com/print/1414-ceredo_-_crocione
54,5018, No, No,"
Giro fra le cascine a Cergnago

"," 10 giugno 14

",https://www.piste-ciclabili.com/print/5018-cergnago:_giro_tra_le_cascine
55,2250, No, No,"
Questo itinerario collega il Parco delle Groane col Parco del Lura, da Ceriano Laghetto a Saronno.
Si sviluppa quasi interamente su ciclabile, tranne l'attraversamento del centro di Ceriano L., dove si attraversa un'area pedonale (per evitare i sensi unici), e nell'ultimo tratto a Saronno, prima di entrare nel Parco del Lura, in quanto il collegamento ciclabile non è completo. In particolare in quest'ultimo tratto si percorrono delle vie a senso unico, quindi se si percorre l'itinerario in senso contrario occorre cambiare percorso (anzichè percorrere, da quando finisce la ciclabile, le vie Pastore-Pozzo-Larga-Trento-Togliatti si deve seguire la sequenza di vie Prampolini-Larga-Pio XI, per poi riprendere il percorso segnalato).


"," 13 ottobre 15

",https://www.piste-ciclabili.com/print/2250-ceriano_laghetto_-_saronno_(parco_delle_groane_-_parco_del_lura)
56,6036, Si, No,"
Pista ciclabile su via della Pace.

"," 4 settembre 17

",https://www.piste-ciclabili.com/print/6036-ceriano_laghetto:_via_della_pace
57,6037, Si, Si,"
Pista ciclabile/ciclopedonale su via Silvio Pellico

"," 4 settembre 17

",https://www.piste-ciclabili.com/print/6037-ceriano_laghetto:_via_pellico
58,1294, Si, Non votato,"
Partendo dal bel lungolago di Cernobbio si percorre via Erba e si discende verso Tavernola, nel Comune di Como, passando davanti aVilla Erba (nota come centro espositivo di fama internazionale) e passando sopra il ponte sul fiume Breggia.

A Tavernola, passando dinanzi a Villa Dozzio, ha inizio la pista ciclo-pedonale che si prolunga, costeggiando il lago, sino al cuore della città di Como.

Lungo il percorso ciclo-pedonale che ha inizio all'uscita del parco di Villa Olmo è possibile ammirare alcune ville Neoclassiche che si affacciano sul lago, tra le quali Villa Gallia (sede dell'Amministrazione Provincale).

Percorrendo Lungo Lario Trento si passa accanto a Piazza Cavour, definita ""il salotto della città"" e si raggiunge limbocco di viale Geno e da lì si procede sino a Villa Geno e la sua zampillante fontana.

","e 09

",https://www.piste-ciclabili.com/print/1294-cernobbio_-_como._scoprendo_ville_preziose
59,772, Si, Non votato,"
Collegamento tra Cernusco e Brugherio costeggiando il Parco Increa

"," 10 settembre 08

",https://www.piste-ciclabili.com/print/772-cernusco_-_brugherio_(per_campi)
60,1362, Si, No,"
percorso che collega Cernusco a Bussero passando per cascina imperiale

L'arrivo a Bussero è in corrispondenza di una cascina dove si può comprare latte crudo.

","e 11

",https://www.piste-ciclabili.com/print/1362-cernusco_-_bussero_per_campi
61,655, Si, Si,"
Breve tratto di pista che collega Carugate (centro commerciale Carosello e IKEA) a Cernusco sul Naviglio.

"," 5 agosto 08

",https://www.piste-ciclabili.com/print/655-cernusco_-_carugate
62,2623, No, No,"
Percorso ad anello che permette di attraversare i comuni di Cernusco Carugate Caponago Pessano Bussero Cassina de Pecchi.
L'itinerario è in gran parte su sentieri e piste ciclabili solo pochi tratti sono su strade comunali

lunghezza complessiva 20 km

"," 27 settembre 10

",https://www.piste-ciclabili.com/print/2623-cernusco_-_carugate_-_caponago_-_pessano_-_bussero_-_cassina_de_pecchi_(anello)
63,2760, Si, Si,"
Anello Cernusco Pioltello Segrate Redecesio Lavanderie Milano2 Vimodrone quasi interamente percorso da piste ciclabili , unici tratti senza percorsi ciclabili sono a Milano 2 (traffico scarso) e Vimodrone (attraversamento strada padana con impianto semaforico)

"," 5 gennaio 11

",https://www.piste-ciclabili.com/print/2760-cernusco_-_pioltello_-_segrate_-_redecesio_-_milano2_-_vimodrone_(anello)
64,496, Si, No,"
Dalla stazione dellametropolitana di Cernusco sul Naviglio al confine di Pioltello

"," 4 maggio 08

",https://www.piste-ciclabili.com/print/496-cernusco_-_pioltello_lungo_viale_assunta
65,2835, Si, Si,"
Pista ciclabile che collega Cernusco S/N a Carugate.


"," 31 marzo 11

",https://www.piste-ciclabili.com/print/2835-cernusco_s/n_-_carugate_:_via_isola_guarnieri
66,2613, No, No,"
itinerario che permette di raggiungere la riserva regionale Sorgenti della Muzzetta.

Partenza Cernusco S/N dalla pista ciclabile del naviglio martesana

","e 11

",https://www.piste-ciclabili.com/print/2613-cernusco_s/n_-_sorgenti_muzzetta_rodano
67,1349, Si, Non votato,"
Anello che consente di attraversare in bicicletta Cernusco sul Naviglio, Vimodrone, Cologno, Milano, Segrate e Pioltello.

"," 3 maggio 09

",https://www.piste-ciclabili.com/print/1349-cernusco_s/n_-_vimodrone_-_cologno_-_milano_-_segrate_-_pioltello_(anello)
68,2658, Si, Si,"
ciclabile che consente di percorrere da est ad ovest la città

"," 14 ottobre 10

",https://www.piste-ciclabili.com/print/2658-cernusco_s/n_ciclabile_da_ovest_ad_est_della_citt%EF%BF%BD
69,2241, Si, Si,"
Nuova pista ciclabile attraverso il boschetto verso Parco Increa

"," 10 giugno 10

",https://www.piste-ciclabili.com/print/2241-cernusco_s/n:_a.vespucci_-_parco_increa
70,1260, No, Non votato,"
Breve itinerario tra i campi che porta dal Parco Increa di Brugherio a Cernusco sul Naviglio.

Parzialmente su terra/sentiero/asfalto

"," 10 giugno 10

",https://www.piste-ciclabili.com/print/1260-cernusco_s/n:_naviglio_martesana_-_parco_increa
71,2657, Si, No,"
Pista ciclopedonale che dal centro arriva in prossimità della scuola superiore



"," 14 ottobre 10

",https://www.piste-ciclabili.com/print/2657-cernusco_s/n:_via_monza
72,5884, No, No,"
Giro di circa 35 kms da Cernusco S/N a Linate via Pioltello, Seggiano, Laghetto Malaspina, San Bovio e Peschiera Borromeo e con ritorno via Linate, Parco Forlanini/Centro Saini, Idroscalo, Segrate, Seggiano e Pioltello. La maggior parte del percorso è su pista ciclo-pedonale o su percorso protetto.

Attenzione ad alcuni passaggi a San Bovio (zona Microsoft Campus), Peschiera Borromeo (rotonde selvagge) e Novegro (raccordo via Corelli con la cicabile peri-idroscalo esterna).

"," 24 agosto 16

",https://www.piste-ciclabili.com/print/5884-cernusco_sul_naviglio_-_linate_(anello)
73,497, Si, No,"
Dal Navilgio Martesana a Cernusco sul Naviglio a Pioltello attraversando la statale 11 sul ponte ciclopedonale

"," 4 maggio 08

",https://www.piste-ciclabili.com/print/497-cernusco_sul_naviglio_-_pioltello_via_ponte_ciclabile_sulla_padana
74,495, No, Si,"
Pista Ciclabile che collega Cernusco alla Frazione di ronco

"," 4 maggio 08

",https://www.piste-ciclabili.com/print/495-cernusco_sul_naviglio_-_ronco
75,774, Si, No,"
Ciclabile che attraversa la città in direzione Nord/Sud.

A Nord si raccorda con la ciclabile che porta a Carugate, a Sud è facilmente accessibile dalla ciclabile della Martesana

"," 10 settembre 08

",https://www.piste-ciclabili.com/print/774-cernusco_sul_naviglio_-_via_giuseppe_verdi
76,4025, Si, Si,"
Ponte ciclopedonale recentemente completato e annesse piste ciclabili di collegamento

"," 4 ottobre 12

",https://www.piste-ciclabili.com/print/4025-cernusco_sul_naviglio:_ponte_ciclopedonale_s.p._padana
77,794, No, No,"
Pista ciclabile di collegamento

"," 17 settembre 08

",https://www.piste-ciclabili.com/print/794-cernusco_sul_naviglio:_via_cavour_-_vivaio_piante
78,771, No, No,"
Attraversamento Nord Sud su pista ciclabile protetta

"," 10 settembre 08

",https://www.piste-ciclabili.com/print/771-cernusco_sul_naviglio:_via_leonardo_da_vinci
79,773, Si, No,"
Breve ciclabile che collega le strutture sportive al centro città

"," 10 settembre 08

",https://www.piste-ciclabili.com/print/773-cernusco_sul_naviglio:_via_michelangelo_buonarroti
80,2639, Si, No,"
percorso interamente ciclabile/ciclopedonale che consente di attraversare parte della città


da vedere il fontanile Lodi /fontanone zona boscosa cresciuta intorno ad un fontanile .

"," 14 ottobre 10

",https://www.piste-ciclabili.com/print/2639-cernusco:_via_verdi_-_via_fiume_-_via_falcone_/_borsellino_-_via_fontanile_-_via_buonarroti
81,3786, Si, Si,"
85% pista ciclo/pedonale (su nuovo svincolo TEEM) 15% Strada (Loc. Riozzo)

"," 14 febbraio 16

",https://www.piste-ciclabili.com/print/3786-cerro_al_lambro_-_melegnano
82,3639, Si, Si,"
Ciclabile di circa 3 km in viale alberato con vista sui campi che costeggiano l'A8

","e 12

",https://www.piste-ciclabili.com/print/3639-cerro_maggiore_-_cantalupo
83,6038, Si, No,"
Pista ciclopedonale sulla SP198 verso Uboldo e a sud dell'Auchan di Rescaldina.

"," 4 settembre 17

",https://www.piste-ciclabili.com/print/6038-cerro_maggiore:_sp198_verso_uboldo/rescaldina
84,1749, Si, Non votato,"
Collega il Naviglio pavese alla Stazione FS di Certosa di Pavia a Guinzano (frazione di Giussago) passando a fianco del monastero cistercense

"," 13 ottobre 09

",https://www.piste-ciclabili.com/print/1749-certosa_di_pavia_-_stazione_fs_certosa_di_pavia_(giussago)
85,2051, No, No,"
Ottima ciclabile protetta a due corsie dalla Villa Marazzi nel centro storico di Cesano, passaggio nei pressi di un'antico fontanile nel Bosco dell' acqua e Casa dell' acqua con annesso distributore di latte crudo.

Fino in prossimità del centro commerciale si viaggia su pista ciclabile protetta, arrivati in prossimità del controviale della SS494 si deve attraversarla (se si proviene da Cesano) tramite l' incrocio, se invece si proviente da Corsico si userà un sottopassaggio a circa 300 mt più avanti direzione Milano.

Nelle immagini satellitari e sulle carte non è al momento ancora indicato, ma dopo aver attraversato la statale e percorso un breve tratto di controviale si svolta a dx su nuovissima ciclabile del nuovo ponte di scavalco ferrovia.
Giunti oltre il ponte si prenderà la ciclabile che sale fino sopra il piccolo parco di recente realizzazione dalla conversione residenziale delle vecchie cartiere.

Percorsa la discesa del piccolo parco ci ritroviamo lungo il naviglio grande dove è appena stato ultimato un ulteriore ponte con tanto di scivolo e ascensore per scavalco naviglio e statale di Corsico, l'itinerario terminerà nel piccolo parcheggio di fronte al centro commerciale coop.

"," 20 marzo 10

",https://www.piste-ciclabili.com/print/2051-cesano_boscone_-_corsico
86,2317, Non votato, No,"
Breve itinerario che collega Cesano Boscone alla ciclabile che va da Settimo Milanese a Cusago; a parte 2 brevi tratti di ciclabile il percorso e su strade di campagna a basso traffico.

"," 26 maggio 10

",https://www.piste-ciclabili.com/print/2317-cesano_boscone_-_cusago
87,2253, Si, No,"
Breve ciclabile che connette una zona di centri commerciali al parco di via Gobetti nel quartiere Tessera.

Il Primo tratto in corrispondenza della Vigevanese si sviluppa su entrambi i marciapiedi ma poco dopo la ciclabile prosegue solo sul marciapiede ""ovest"".

In prossimità degli incroci delle grosse castellane rendono la ciclabile davvero sicura.

"," 14 maggio 10

",https://www.piste-ciclabili.com/print/2253-cesano_boscone_-_quartiere_tessera
88,391, Si, No,"
Per andare dal centro storico al campo sportivo Cereda.

Una volta raggiunto il Parto Pertini (punto D sulla mappa), per raggiungere il campo sportivo Cereda è sufficiente seguire l'itinerario Cesano Boscone: gli ipermercati

"," 13 febbraio 08

",https://www.piste-ciclabili.com/print/391-cesano_boscone_centro_storico_-_campo_sportivo_cereda
89,255, No, Si,"
Un ""bel"" esempio di ciclabile ""Milanese"" ricavata a costo di urbanizzazione selvaggia di un'ampia area ex-agricola.

Ciò che rimane sono palazzoni, ipermercati e una ""ciclabile"" di poche centinaia di metri.

Non è integrata in una rete e ed è sepolta in un mare di auto e cemento. Certo che se uno vuole fare un sabato pomeriggio di spese nei due ipermercati, allora la ciclabile è ottima. E la cementificazione ancora continua tanto che google maps rimane costantemente indietro con le sue foto e dimentica qualche palazzone.

"," 12 dicembre 07

",https://www.piste-ciclabili.com/print/255-cesano_boscone:_gli_ipermercati
90,4524, Si, No,"
Percorso totale 36 km

"," 8 giugno 13

",https://www.piste-ciclabili.com/print/4524-cesano_maderno_-_monza_-_varedo_-_bovisio_(anello)
91,6034, Si, No,"
Pista ciclopedonale da Cesate a Solaro, verso Cesate con fondo in terra/ghiaietto mentre dalla rotonda e su corso Berlinguer in asfalto.

"," 4 settembre 17

",https://www.piste-ciclabili.com/print/6034-cesate_-_solaro
92,6159, No, No,"
Percorso vario tra svincoli, sottopassi, strade campestri

"," 14 febbraio 18

",https://www.piste-ciclabili.com/print/6159-chiaravalle_milanese_-_borgo_bagnolo_-_sesto_ulteriano_-_poasco
