,_id,commento,data
17,43,"Ragazzi, dopo Torba comincia il paradiso per chi realmente ama la MTB. Salite su asfalto a sx sino a Castelseprio, a dx della chiesa prendete la via che porta agli scavi. dopo poche centinaia di metri sulla sx comincia un sentiero in leggera discesa: prendetelo e seguitelo prima salendo la collina e poi scendendola sul versabte opposto (attenzione alla discesa perchè e da veri manici). Alla fine della discesa vi ritroverente nel letto di un torrente in secca, seguitelo fino a trovarvi oltre la provinciale sulla collina di Rovate dove avrete solo l'imbarazzo della scelta per quale sentiero seguire. L'unico pericolo è che malauguratamente vi potrete ritrovare faccia a faccia con qualche giocatore del Milan visto che i senteri costeggiano il centro sportivo di milanello. Ciao", 17 luglio 10
18,43,"Quanta puzza,la ciclabile dalle valle OLONA,che prosegue lungo la ex ferrovia della Valmorea,mi ha lasciato questa sensazione.Il percorso è di ca 19 km e congiunge i complessi industriali della valle tra Castiglione O. e Caslellanza.La pista è bella,buon fondo sterrato e granulato,c'è movimento per migliorare e questa è una buona cosa.A Fagnano un depuratore biologico ,in altre zone mi sembra che ci sia attenzione al recupero.Alla domenica è molto frequentata e questo dovrebbe indurre gli amministratori dei comuni toccati ad accellerare i tempi di bonifica e maggiori controlli.Se fatta con tempi lunghi ,piccole deviazioni possono portare alla visita di zone d'arte notevoli.Segnaletica sufficiente,alcuni attraversamenti stradali piuttosto cechi e pericolosi e la mancanza totale di cartellonistica mirata della ciclabile.Ma quante puzze di fogna mi sono portato a casa.", 12 luglio 10
19,43,"DA castellanza a Cairate ex cartiera il percorso è perfettamente segnalato e mantenuto in perfette condizioni, cartiera fiume olona fondo a ciottoli e in costruzione,olona crotto Cairate percorso chiuso anche se sembra terminato, bisogna restare sulla strada, buono da crotto a Torba, da Torba a piana di Lozza in costruzione , a tratti ciottolato, sentiero, e strada. da Cairate a Lozza non c'è segnaletica.", 9 settembre 09
20,43,Ho fatto questo tragitto e mi è piaciuto molto. Ho fatto un po' di fatica a trovarlo perchè la segnalazione non è precisa., 11 agosto 08
21,1723,"Eseguito con i bambini piccoli 11/9/2010. Nel tratto centrale la pista devia dal corso del fiume e passa sotto la ferrovia per aggirare un centro ippico, si passa a fuanco della recimzione e si vedono i cavalli. Fortunatamente niente cani. Poi si ripassa sotto la ferrovia e si prosegue sul tracciato. Tutto molto ciclabile e adatto alle famiglie. Noi ci siamo fermati al ristorante della trota vagabonda, molto buono.", 12 settembre 10
22,236,"E' una bella passeggiata veramente sono partito da Corsico ho attraversato Cesano Boscone,Muggiano,ho incrociato la ciclabile che arriva da Baggio attraversato Cusago sono arrivato a Cisliano e dopo diverse strade sbagliate ma nella campagna mi sono ritrovato ad Abbiategrasso,ho preso la ciclabile sul Naviglio,passato da Vermezzo,arrivato a Gaggiano sono passato sull'altra sponda del Naviglio,passato da Trezzano e rientrato a Corsico.", 20 luglio 11
23,236,"Oggi ho fatto questa pedalata, inizia a destra del castello, andando verso il cosiddetto bosco di Cusago.", 26 maggio 11
24,236,"Questa mattina ho percorso l'itinerario, ed è stata davvero una bella biciclettata, in mezzo alla tranquillità della campagna. Ci ho messo un po' (leggasi: mi sono perso) a raggiungere Cusago da Milano, ma una volta trovata la strada giusta, è andata benone.", 22 marzo 08
25,1617,"vorrei solo dire che questo itinerario è stato fatto da me,ma la partenza e le varie didascalie sono state modificate da qualcuno. infatti la partenza e l'arrivo sono a Beregazzo e non a Castelnuovo.", 30 gennaio 10
26,2907,Carino ma segnalato soltanto in alcuni tratti, 8 novembre 12
27,5331,"A Bagnolo Mella attenzione a non attraversare a passaggio a livello abbassato,anzi non fatelo mai...", 26 settembre 15
28,5331,"Pista con qualche difficoltà, soprattutto la parte ovest in 2 punti sono dovuto passare sotto ad una sbarra, una volta mi sono trovato praticamente all'interno di una corte privata. Credo che questo sia dettato dal fatto che quando è stato fatto il rilevamento si stavano facendo i lavori sulla ""corda molle"" per cui molte strade erano inagibili, ora i lavori sono terminati e per questo tratto è molto ma molto meglio seguire la classica ciclabile Cremona Brescia molto ben segnalata e nettamente migliore. Niente da dire sulla parte Est :asd :asd", 1 settembre 15
29,5443,"Percorsa oggi ,partendo da Botticino però ... Io sono un principiante ,è solo la seconda stagione che faccio in mtb . Giro veramente bello , bellissimi paesaggi e le poche volte che si è in strada, queste sono prive di traffico .per un principiante come me il tratto della ciclabile della valtenesi risulta moooolto impegnativo . È un continuo saliscendi con pendenze importanti ! Giro completo (Botticino-salo-lonato-Botticino) 4 ore .", 9 giugno 15
30,1907,"Quando vai per sentieri, il fatto di dover mettere la bici in spalla, va messo in conto.", 3 settembre
31,1907,Fatto questa traccia oggi. Purtroppo degli alberi caduti sul tragitto durante i forti temporali di luglio impediscono il pasaggio in un paio di punto., 3 settembre
32,5973,Salve., 24 maggio 17
33,5973,"l'itinerario è facilmente riconoscibile dalla cartina. Fa parte d'un progetto per collegare Milano con la Svizzera in tre tronchi: 1) Rho Fiera (stazione ferroviaria) - seguire fedelmente la pista ciclabile n. 1 delle Groane fino al centro ippico S.Andrea; 2) Centro ippico S.Andrea - Cascina Castigliona; 3) Cascina Castigliona - Stabio. I tratti 2) e 3) sono stati inviati a codesto sito da me a gennaio (l'indicazione ""Anonimo"" si riferisce al sottoscritto). Il progetto è stato presentato alla Regione Lombardia 5 anni fa (Garbagnate - Stabio, vedi), poi modificato dopo la costruzione della ""Pedemontana"".", 8 maggio 17
34,2623,Un vero peccato che non venga completato il collegamento con pista ciclabile fra Bussero e Pessano (800mt di provinciale che costringono tanti abitanti di Pessano a prendere l'auto per andare alla M2) e fra Bussero e Ronco - Fraz. Cernusco., 4 agosto 14
35,2623,"jmiglia wrote:Tragitto abbastanza comodo, quasi tutto su ciclabile. :cool", 29 settembre 10
36,2623,"Tragitto abbastanza comodo, quasi tutto su ciclabile. :cool", 27 settembre 10
37,2760,"vai tranquilla, il ponte è aperto oramai da due anni!", 7 gennaio 15
38,2760,qualcuno l'ha fatto? i lavori in corso sono finiti? ora è percorribile? Grazie volevo farla domenica, 7 gennaio 15
39,2760,"Premetto che non conosco tutto l'anello, ma solo la parte sud.", 15 luglio 11
40,2613,"Fatta settembre 2020, di sabato e quindi traffico quasi zero a causa della chiusura di tutte le aziende e capannoni che le stradine attraversano, piacevolissima "", sembra di non essere nel milanese, peccato che le sorgenti Muzzetta (un fontanile) siano visitabili solo con tour guidato.", 6 settembre
41,1349,"sono ""nuovo"" del forum e mi auguro di non dire stupidate.", 19 maggio 10
42,2639,ho visto tramite le mappe del PGT che la pista ciclabile sulla padana nel tratto cernuschese è in progetto, 14 ottobre 10
43,2639,ahime manca ancora la padana..., 12 ottobre 10
44,2639,:cool con la recente (quasi un anno) realizzazione di questa ciclabile è praticamente possibile, 12 ottobre 10
45,3639,questa pista e' di circa 4 chilometri ma porta verso i boschi di uboldo (ci sono indicazioni) oppure tramite una strada asfaltata con poco traffico ci si puo' spingere al parco degli aironi di gerenzano), 22 luglio 17
46,3551,seguito durante un soleggiato sabato di maggio., 18 maggio 15
47,3551,"Pedalata effettuata ieri, sabato 26 maggio 2012.", 27 maggio 12
48,987,"Percorsa il 7/6. Purtroppo vari tratti, specie nel tratto del comune di Soliera, sono con erba alta;", 11 giugno
49,987,"Ciao a tutti, percorsa ieri la ciclabile da Sozzigalli (dopo il ponte di Sorbara venendo da Bomporto e Nonantola) su percorso ben segnato della EuroVelo 7, e ad ogni intersezione con strade carrabili cartelli con distanze ed indicazioni.", 15 luglio 19
50,987,benvenuto Djrumba, 16 luglio 17
51,987,"Ciao fabien la ciclabile da Modena in direzione sud è ben segnalata io faccio abitualmente dall' oasi naturale del colombarone fino alla diga su secchia per poi tornare in direzione verso casa in direzione Sassuolo dal lato reggiano,poi tornando dal lato modenese utilizzando il ponte ciclopedonale all' inizio di sassuolo. Cira 40km partendo da casa.", 14 luglio 17
52,987,"Ciao, volevo chiedervi in che stato si trova il percorso in prossimità di Modena, sia andando verso sud che verso nord... non ci sono mai stato e non sono della zona. Il percorso è ben segnalato? va bene per un principiante? grazie mille anticipatamente.", 11 luglio 17
53,987,Ciao ho appena percorso il tratto campogalliano Sozzigalli che dire...la traccia scaricata da qs sito è pessima evidentemente tracciata a computer e con pochi punti traccia ., 1 maggio 17
54,987,Ciao a tutti! Qualcuno che ha percorso la pista di recente sa dirmi in che condizioni è ?, 24 agosto 16
55,987,Ciao a tutti abito a Piumazzo e volevo fare la ciclabile del Secchia . fino a Modena ci so arrivare poi? E' segnata? Potete aiutarmi? c' e qualcuno che vuole aggregarsi x domenica 8 maggio ?, 6 maggio 16
56,987,"salve sono nuovo nel sito, dove posso trovare i percorsi , ciclabili etc da importare nel mio gps in formato Gpx partendo da Sassuolo", 16 dicembre 15
57,987,ciclabile hardcore!!! :incaz :truzzo :cool, 5 ottobre 15
58,987,"Abbiamo percorso la ""passeggiata dei mulini"" a partire da Concordia. Non prendete direttamente la passeggiata, c'e' la ghiaia, e' affollata, state di sotto riva dx per circa 2 km poi risalite sull'argine quando la strada finisce (non si puo' sbagliare). Pista fantastica, panorama padano molto godibile, vista sulle chiuse e sulla bonifica. E' una pista su asfalto/terra battuta adattissima alle famiglie. Siamo tornati passando sulla riva sinistra. Attenzione che al momento c'e' una interruzione, al ritorno siamo dovuti scendere e poi risalire perche' stanno effettuando dei lavori. Comunque veramente raccomandatissima!", 30 marzo 15
59,987,"Percorso ieri, sabato 7, tratto corto, per mancanza di tempo e per fare solo una sgambata, da Sozzigalli alla località Tre Olmi/Ponte della Barchetta. Devo dire, e qui mi dispiace, che peggio di così non poteva andare. Le due tracce dove passare appena visibili, per il resto erba alta a dir poco 150 cm. Invito i responsabili della ciclabile, ciclisti o non ciclisti, a percorrerla e tanti auguri. Li pregherei inoltre di avere un po' più di serietà nella cura e manutenzione di questa bellissima ciclabile. E mi fermo quì nell' esprimere quello che penso. Saluti e buone pedalate a tutti. rasein66.", 8 giugno 14
60,987,"Fatta oggi da Bagnolo a Modena. Fino a Concordia ok, fondo stradale o quasi, poi la rovina, i sentieri sugli argini si fanno fitti di vegetazione alta anche un metro, la stradina percorribile è di 10 cm, sconnessa e con tratti coperta di erba difficile da pedalare. Avendo la affrontata in pantaloni corti, mi sono devastato gambe e caviglie! Fortunatamente il giubbino mi ha salvato le braccia. Panorami naturali belli ma monotoni. Si nota la devastazione del terremoto nei borghi emiliani, purtroppo. Giunto a 20 km da Modena sono uscito dal sentiero e ho preso una provinciale, non ne potevo più della vegetazione sempre più fitta! Provinciale stretta e trafficata, da incubo gli ultimi 15 km. A Modena mi sono fermato, nelle vicinanze di parco Ferrari. Il tutto affrontato con mtb ammortizzata anteriormente, non fatelo con altre tipologie di bici! È tutta al sole, quindi in estate da evitare assolutamente. Voto 7---", 3 giugno 14
61,987,Rispondo a Nicola a proposito dell'asfalto sulla ciclabile., 27 maggio 14
62,987,"Scusate, volevo farla con la bici da corsa partendo dal Po' ed andando in giu' verso MO. Non riesco a capire in che punti e' sterrata e quali e' asfaltata. Se qualcuno mi puo' dare una dritta per fa una grossa cortesia :cool Grazie, Nicola", 26 maggio 14
63,987,"Fatto oggi tratto parziale da Concordia (poco dopo, dove inizia il tratto asfaltato sulla dx del fiume) al Po, avvistato in comune di San Benedetto, frazione San Siro, nei presi del ristorante Vecchio Cornione (magari torno per provarlo, la prossima volta...). 43 km andata e ritorno con moglie e figlie di 8 e 10 anni le quali, seppure abituate a pedalare, hanno comunque fatto una bella impresa! Confermo il giudizio di Raisen66, qualche auto sulla dx Secchia, ma traffico mai preoccupante. Da ripetere!", 13 aprile 14
64,987,Ciclabile della Secchia MN.-MO., 13 aprile 14
65,987,"ciao a tutti,", 9 settembre 13
66,987,Buongiorno a tutti!, 30 agosto 13
67,987,"Cio a tutti,", 10 giugno 13
68,987,Fatta ieri da Castellarano alle sponde del Po' e ritorno(210km)., 3 giugno 13
69,987,http://www.lacarbonarablog.it/?p=25342, 9 aprile 13
70,987,"Leggo solo ora i commenti di Trandrea e Shaula82, e mi permetto di puntualizzare che la Modena-Castellarano, tratto della Mantova-Modena-Castellarano, corre sulla riva dx del fiume Secchia, questo tratto a mio parere è preferibile percorrerlo con un MTB. Sulla riva sx non c'è mai stato una ciclabile, da un paio di anni a questa parte c'è un qualche tentativo di costruirne una, ma fino ad ora c'è solo qualche tratto. Per maggiori informazioni la Provincia di Modena ha pubblicato dei biciguida, Modena in bici, che si trovano nelle librerie. Nel libretto n.2, 2003. itinerario n.6 c'è la descrizione del percorso Natura del fiume Secchia dal Ponte Alto a Castellarano. Mentre nel libretto n.3, 2005. itinerario n.16 c'è la descrizione del percorso natura del Fiume Secchia da Campogalliano a Mantova. Le descrizioni sono un po' datate quindi potrebbe esserci stata una qualche variazione, la base comunque è quella. Buona pedalata. rasein66. 23/09/12.", 23 settembre 12
71,987,Confermo quanto scritto da trandrea..purtroppo percorrendo nella parte reggiana il lungo Secchia il tratto tra Rubiera e Villalunga è inestistente. Anche io mi sono trovata a fare la statale., 11 settembre 12
72,987,Ora il tratto di Sozzigalli è aperto. Completamente rifatto ed allargato e ben ghiaiato (fin troppo) adattissimo a una passeggiata fuori dal traffico., 3 dicembre 11
73,987,"Confermo che il cantiere tra Sozzigalli e San Martino è ancora presente, ma di sabato e domenica si può comunque passare. Ad ogni modo c'è sempre la strada che costeggia l'argine che è poco trafficata e può essere una valida alternativa.", 24 maggio 11
74,987,"In data 25 gennaio 2011 ho percorso il tratto che da Ponte Alto conduce verso la bassa modenese: la mia intenzione era quella di arrivare a Concordia, purtroppo ho dovuto interrompere la mia biciclettata, in quanto, approfitto per segnalarlo agli amici ciclisti, una volta arrivati a Sozzigalli di Soliera (approssimativamente 15 km da P.Alto), ci si trova la strada sbarrata da alcune transenne che segnalano provvisori lavori in corso: gli operai presenti non mi hanno saputo precisare il termine dei lavori.....parlano di uno o due mesetti. Neppure scendere dall'argine e riprendere il percorso qualche km più avanti è possibile: strada sbarrata!", 27 gennaio 11
75,987,"Il 10 aprile 2010 ho percorso un anello che parte dalla località Tre Olmi di Modena, per arrivare a Castellarano e ritorno. Andata sulla riva destra del Secchia, sfruttando la ""Ponte Alto Modena - Castellarano"", ritorno sulla riva sinistra del Secchia, sfruttando (o meglio, tentando di sfruttare) la ""Ciclabile del Secchia (MN-MO)"".", 11 aprile 10
76,987,"Complimenti a ""profamos"" per il percorso. Non l' ho ancora visto né visitato fisicamente, ma forse in primavera la cosa sarà possibile. Visto che conosco la pista ciclabile prima di Mantova, suggerirei di unificare i due percorsi come una pista unica: Peschiera del Garda - Sassuolo.", 26 novembre 09
77,1728,Ciao a tutti., 9 maggio 18
78,1728,"Ciao a tutti. Corro a piedi su questo percorso praticamente ogni settimana, principalmente la domenica mattina all'alba. Non riesco a capire i commenti di chi narra di erbacce infestanti e di chi parla di difficoltà a capire il percorso. Mi rivolgo a loro: non è' che stiate parlando di un altro percorso? La strada e' semplicissima, ben tenuta, anche troppo per chi fa running o trail, ad esempio. Perfetta per chi va in bici. Ieri ci ho fatto 20 km e sono contentissimo, anche per le emozioni che si raccolgono in questo percorso di più unica che rara bellezza. Aggiungo: molto safe, nessun pericolo riscontrato in almeno una trentina di volte che mi sono avventurato di corsa e una decina in bici. Consigliato.", 31 dicembre 15
79,1728,"Ho percorso la ciclabile a giugno 2015. La manutenzione lascia molto a desiderare: il fondo è in molti tratti invaso da vegetazione, rami e spine. Per chilometri si viaggia tra due muri di erbacce. Peccato che un tracciato così interessante e ricco di potenzialità turistiche sia ridotto in questo stato pietoso. :|", 22 giugno 15
80,1728,"percorro spesso tratto soiano d.lago/padenghe ma le erbacce hanno ormai hanno invaso la sede stradale,poichè questo tratto è molto utilizzato anche x camminate di gruppo,in certi tratti diventa difficile il passaggio anche di una sola bici :mad", 15 settembre 14
81,1728,"Scusatemi, ma, a parte il tratto di strada tra Salò e Cunettone, dove sarebbe questa ciclabile? anche sulla cartina è segnata sulla SP 25.", 19 agosto 14
82,1728,"Buongiorno a tutti, ho fatto questa ciclabile con la mia famiglia settimana scorsa. Certo non è adatta a un bambino di tre anni, ma il mio che ne ha 8 e non è certo molto allenato l'ha fatta pur scendendo per alcuni brevi tratti. A noi è piaciuta molto sia per i panorami che si possono ammirare dalle colline sia per il fatto che non è la solita noiosa pista ciclabile tutta dritta. A differenza delle affollate piste pianeggianti lungolago o lungofiume nelle quali si rischia spesso di andare a sbattere contro qualcuno, in questa ricca di saliscendi si incontrano veramente poche persone e nonostante vengano anche utilizzate piccole strade aperte al traffico si incontrano anche pochissime auto (su quasi 40 km. 2 in tutto).", 4 luglio 14
83,1728,"Ciao a tutti,", 5 luglio 13
84,1728,"L'ho fatta ieri, certamente non è x bambini ,bellissimi paesaggi,scorci da cartolina sul lago,consiglio alle amministrazioni comunali di tenerla piu in ordine e ai pochi automobilisti che transitano di andare piu adagio e dare la precedenza ai ciclisti senza alterarsi.comunque non complesso una bella esperienza da rifare.", 24 giugno 13
85,1728,"Attratto dalla descrizione mi sono avventurato sul percorso""ciclabile"" con la mia citybike, mercoledi 24 Aprile partendo da Desenzano.Percorso abbastanza impegnativo,non certo per famiglie con bambini al seguito.", 26 aprile 13
86,1728,:rotf peccato che qest'anno il tratto soiano padenghe è molto trascurato i rami e l'erba restringono parecchio la sede stradale ..................!!!!! :nono, 10 agosto 12
87,1728,"Molto bella, ben segnalata almeno fino a prima di Salò, anche se non del tutto adatta ai bambini, é d'obblico per tutti una bici con dei buoni cambi in quanto la strada é ricca di saliscendi, se fatta anche in senso inverso (al ritorno) la parte iniziale da Salò é molto ostica (non solo per i bambini). Con i bambini consiglio di limitarsi a fare alcuni tratti, da Lonato o Padenghe a Puegnago ad esempio é in leggera salita con alcune rampette, all'andata i bambini fanno un po' fatica ma si rifanno nel ritorno verso Lonato che é divertentissimo molto veloce in leggera discesa.", 15 maggio 12
88,1728,"Quoto Malpo, tracciato molto impegnativo, da Salò c'è una salita del 12% impossibile per famiglie, la pista ciclabile, se la si riesce a trovare e a seguire (poche indicazioni e fatte male), non esiste, a parte brevi tratti, per il resto è su strade normali a basso volume di traffico. Per me non ne vale la pena. :confused", 2 aprile 12
89,1728,"La nuova ciclabile, inaugurata dalla amministrazioni locali e provinciali, nel novembre del 2011, che da Salò si collegherebbe a questa, attraverso San Felice e Puegnago, ANCORA NON ESISTE! In Comune a San Felice ho chiesto: ""Sarà pronta per l'estate 2012?"" La risposta: ""AHAHAH!"" Giudicate voi....", 21 febbraio 12
90,1728,"ragazzi, l'ho fatta ieri. premetto che mi sono divertito e sono posti molto belli, ma......", 11 luglio 11
91,1728,"Si tratta della ciclabile della Valtenesi, molto bella. Il percorso dall'inizio (vedi Foto 1) fino al centro di Salò e di 23 km, farla in senso contrario è un pò più difficoltoso poiche al''inizio, in uscita da Salò il percorso ha una pendenza del 12% (vedi profilo altimetrico). Volendo si può compiere un bel giro partendo da Mazzano (Località Treponti) deviare verso Salò, prendendo appunto la ciclabile della Valtenesi e poi rientrare a Mazzano attraverso la ciclabile Salò-Brescia. Il percorso completo è di circa 70 km.", 22 luglio 10
92,1728,"ciclabile molto bella da percorrere anche in senso contrario, sarebbe opportuno maggiori segnalazioni all'interno del paese di Salò.", 22 novembre 09
93,2195,Complimenti @AGERO benvenuto! :cool Grazie della tua esperienza! :D, 22 agosto
94,2195,"Percorso molto piacevole e riposante per i primi 20 Km, poi è in salita anche impegnativa.", 17 agosto
95,2195,http://www.touringclub.it/itinerari-e-w ... go-di-como, 24 settembre 16
96,2195,La parte da Novate a S. Pietro è un lungo e noiosissimo rettilineo tra fabbriche e campi di mais. Evitare le giornate di vento da nord. A Chiavenna molti esercizi pubblici di ristoro sono chiusi il lunedì. Tenerne conto per il pranzo. :|, 2 settembre 14
97,2195,"l'ho fatta un paio di anni fa e mi sembra che i km da Sorico al confine Svizzero siano un pò più di quelli riportati...e ci sono un paio di salite assai difficoltose...sia per lunghezza che pendenza, fondo asfalto, nel tratto da Chiavenna alla svizzera... comunque ne vale la pena...molto bella specie da Chiavenna al confine...", 19 agosto 13
98,2195,"la ciclabile in realtà parte da Sorico passando vicino al cimitero, poi dal ponte del passo prima di arrivare a Nuova Olonio segue la ferrovia come indicato nel seguenti link", 27 aprile 10
99,1756,Percorsa oggi da Alzano Lombardo a Clusone e ritorno. In totale circa 64km. Poco segnalata allinizio ma poi tutto migliora., 6 settembre
100,1756,Ciao a tutti. oggi ho percorso questa ciclabile e devo dire che non è niente male.L'unica pecca si trova ad Alzano Lombardo per il dedalo di ciclabili che si incrociano vicino al ponte per Villa di Serio.Una volta capito come funziona tutto ok. :asd :asd Buona pedalata a tutti :si :si, 17 maggio 16
101,1756,"nok wrote:Nestore,", 1 maggio 16
102,1756,"Nestore,", 30 aprile 16
103,1756,"Ciao a tutti, ho intenzione di percorrere questa ciclabile, vorrei arrivare a Boario Terme scendendo a Dezzo di Sclave dal passo della Presolana e percorrere la vecchia via Mala, qualcuno sa dirmi precisamente dove si imbocca questa mitica via?", 28 aprile 16
104,1756,PERCORSO MOLTO BELLO E DIVERTENTE, 31 dicembre 14
105,1756,"Percorsa oggi tutta da Anzano fino a Clusone, è un bel percorso molto ben curato come poche, alcuni tratti asfaltati devono averli appena rifatti lo si intuisce dal colore scuro dell'asfalto, per il resto anche lo sterrato è ben tenuto, da rifare sicuramente !", 21 settembre 14
106,1756,"Percorso facile, vario e interessante. Solo gli ultimi 5 km finali verso Clusone possono risultare impegnativi per i meno allenati. Manca però il tratto Bergamo Torre Boldone: una volta giunti in questa località pedalando dal capoluogo, individuare l'inizio della ciclabile è quasi un rebus. Manca del tutto una segnaletica chiara, univoca e precisa che indirizzi alla pista. Il percorso stesso nei primi chilometri si ramifica in vari tracciati paralleli che in certi casi (complice sempre una segnaletica confusa) possono disorientare il ciclista. Apprezzabile lungo il tragitto la presenza di vari bicigrill.", 16 settembre 14
107,1756,Ciao qualcuno mi sa dire quanto dista Bergamo dalla val seriana? E' possibile partire da bg in bici e seguire un itinerario verso val seriana ?, 31 agosto 14
108,1756,"percorsa ieri con mia moglie, partendo da Nembro e non fino in fondo. Sinceramente mi aspettavo di più. Interessante il reticolo di ""prese"" dell'acqua, ma troppo disturbata dal rumore del traffico della vicina ex-statale e con qualche attraversamento urbano un po complicato.", 22 agosto 13
109,1756,una gran bella pedalata!!!!...peccato che a ranica mi sono confusa con le indicazioni e ci ho messo un po di più a tornare alla macchina!!!...c'e una lieve pendenza e il ritorno da clusone ti vola!!!!...consiglio di farla!!!!, 10 giugno 13
110,1756,"allora, sarò più preciso settimana prossima quando tornerò a bergamo e spero di riuscire a postare un pò di foto e controllare lo stato d'avanzamento di alcuni tratti, comunque, per chi volesse da bergamo centro (diciamo stazione fs) andarsi a pedalare la ciclabile della val seriana, consiglio di prendere le piste verso est che ""via"" via bono prima e borgo palazzo portano fuori città. il problema è che si resta scoperti per un tratto, causa necessità di passare il fiume serio. l'unico punto utile, a parte i tre ponti a seriate, è il ponte romano di gorle. a tal fine, consiglio itinerari (prometto di tracciarlo settimana prossima!) alternativi che prevedono prima la pista ciclabile di via daste e spalenga (ok, solo 200 mt, ma poi si va su una strada dove passa una macchina ogni dimissione di papa...), poi l'attraversamento di gorle (ho tracciato alcuni percorsi, provvederò a raccordarli in un gesto unico). Arrivati alla biblioteca di gorle, c'è poco da fare, bisogna mettersi su viabilità ordinaria, passare il ponte e andare a prendere l'itinerario che avevo tracciato, in comunce di scanzorosciate prima e villa di serio poi. saranno circa 700 metri, ma belli pesanti per il traffico stradale non da poco, quindi attenzione.", 23 febbraio 13
111,1756,Qualcuno sa dirmi se la ciclabile fino al centro di BG è stata ultimata? oppure previsioni per ultimarla? e dove si congiungerà in bergamo?, 19 febbraio 13
112,1756,partenza ciclabile parco villa di serio sinistra orografica del fiume serio, 3 aprile 12
113,1756,"possibilita noleggio alla stazione di bergamo ""stazione 42"" appena fuori la stessa gruppo pedalopolis", 3 aprile 12
114,1756,"Salve a tutti, oggi sono arrivato nei pressi di Alzano Lombardo e come leggo qua nella vostra cartina la ciclabile inziava in prossimità del ponte su Serio. Oggi m isono trovato il ponte Distrutto con vietata zona di accesso di qualche segnaletica molto vaga di alcune piste ciclabili.....Mi potreste dire esattamente dove inzia? Grazie, Saluti.", 3 aprile 12
115,1756,Ho percorso oggi (Domenica 16 Ottobre 2011) in MTB questa ciclovia insieme alla mia fidanzata., 16 ottobre 11
116,1756,"Percorsa ieri: giornata spendida su una ciclabile fantastica, panoramica, bellissimo il tratto prima di Ponte Nossa con la cima della Presolana sullo sfondo e il Serio ""saltellante"" sulla destra; tanti parchi, tanto verde,tante le aree sosta con panchine, tavoli, fontanelle, supporti per le bici, edicole con informazioni sul percorso, il tutto rigorosamente in legno. Buona la segnaletica, a parte una freccia che indicava dritto, invece bisognava girare a destra,forse qualche buontempone l'ha girata.Il tratto da Ponte Nossa a Clusone,5,7km., è tutto in salita costante ma piacevolissimo da farsi al ritorno :asd :asd Per le signore cicliste: a Fiorano al serio, nel parco giochi, c'è un bar con il wc. esterno molto pulito, per i signori c'e' un'ampia scelta nei boschi :asd A Clusone abbiamo avuto la fortuna di assistere alla gara di sci di legno a 4 posti, molto divertente.", 2 ottobre 11
117,1756,"Ciao,", 21 agosto 11
118,1756,Bellissima ciclabile impossibile perdersi., 18 luglio 11
119,1756,"Ciao,", 28 giugno 11
120,1756,"buongiorno, ad alzano lombardo basta prendere la parte sinistra del fiume,dopo la cartiera sulla dx scendi sotto il cavalcavia e segui il tracciato, dopo la deviazione su strada ti ricolleghi verso clusone. :cool", 20 giugno 11
121,1756,"L'ho percorsa ieri ( 21.05.11)nel tratto da Pradalunga a Clusone,peccato che proprio a Pradalunga nei pressi del ponte vecchio per le auto la pista sia chiusa ( c'era un cartello di divieto d'accesso per una passerella chiusa)senza nessuna indicazione sull percorso alternativo :inca .", 22 maggio 11
122,1756,Cia, 16 febbraio 11
123,1756,è percorribile con carrello portabambini al traino ?, 16 febbraio 11
